
NO;ASPEK;KOMPONEN ASPEK;NAMA INDIKATOR;DESKRIPSI INDIKATOR;Pembilang;Penyebut;DEFAULT_BOBOT
11;EKSELENSI;REPUTASI AKADEMIK;"Jumlah kejuaraan di lomba tingkat nasional yang diraih Mahasiswa atau Tim Mahasiswa (Juara 1,2, atau 3)
";"Jumlah kejuaraan yang memperoleh juara 1/medali emas/juara umum/the best atau Juara 2/perak atau juara 3/perunggu, dihitung per kategori lomba (per medali) di tingkat nasional. Termasuk MAWAPRES tingkat nasional
Tidak termasuk juara harapan maupun lomba pada skala regional/provinsi
Prestasi mahasiswa harus dimasukkan kedalam prestasi.its.ac.id serta dilaporkan ke direktorat kemahasiswaan
";Jumlah kejuaraan ranking 1 di lomba tingkat nasional yang diraih Mahasiswa atau Tim Mahasiswa;-;8
12;EKSELENSI;REPUTASI AKADEMIK;Rasio Jumlah Penghargaan diterima Dosen di kegiatan Berskala Nasional / Jumlah Dosen;"Jumlah penghargaan yang diterima oleh dosen dari unit terkait pada suatu kegiatan atau kompetisi yang diselengarakan oleh lembaga yang beruputasi dan diakui secara publik, seperti oleh kementrian dll. 
Tidak termasuk penghargaan masa bakti PNS seperti satyalancana dll
Jumlah Dosen adalah dosen keseluruhan di departemennya termasuk yang sedang Tugas Belajar, Ijin Belajar, Menjabat di tempat lain dll.
";Jumlah Penghargaan diterima Dosen di kegiatan Berskala Nasional;Jumlah Dosen;8
13;EKSELENSI;REPUTASI AKADEMIK;Jumlah tim ilmiah kemahasiswaan yang didanai dalam rangka PIMNAS;"Tim yang didanai adalah tim PKM yang telah lolos seleksi dan telah mendapatkan dana dari DIKTI.
Jumlah Mahasiswa S1 atau D4 adalah yang teregistrasi pada sistem integra akademik pada tahun perhitungan 
";Jumlah tim ilmiah kemahasiswaan yang didanai dalam rangka PIMNAS;;7
14;EKSELENSI;REPUTASI AKADEMIK;Rasio Jumlah Judul Penelitian / Jumlah Dosen;"Jumlah judul kegiatan penelitian oleh dosen di departemen terkait serta tercatat dalam direktorat Riset dan Pengabdian Masyarakat (DRPM) ITS. 
Jumlah Dosen adalah dosen keseluruhan di departemennya termasuk yang sedang Tugas Belajar, Ijin Belajar, Menjabat di tempat lain dll.";Jumlah Judul Penelitian;Jumlah Dosen;7
15;EKSELENSI;REPUTASI AKADEMIK;Rasio Jumlah judul penelitian yang Diketuai oleh Dosen / Jumlah Dosen ;Jumlah judul kegiatan penelitian  yang diketuai oleh dosen di departemen terkait serta tercatat dalam direktorat Riset dan Pengabdian Masyarakat (DRPM) ITS.;Jumlah judul penelitian yang Diketuai oleh Dosen;Jumlah Dosen;7
16;EKSELENSI;REPUTASI AKADEMIK;Rasio jumlah lulusan tepat waktu / Jumlah intake angkatan lulusan terkait (Program S3);"Mahasiswa S3 yang telah lulus dalam 6 semester atau kurang dibagi Jumlah intake angkatan lulusan terkait S3 pada tahun tersebut  yang statusnya aktif.
Lulus tepat waktu program S3 adalah jika masa studinya kurang dari atau sama dengan 8 Semester
";jumlah lulusan Program S3 tepat waktu;Jumlah lulusan Program S3;7
17;EKSELENSI;REPUTASI AKADEMIK;Rasio Jumlah mahasiswa yang mendapatkan sertifikasi kompetensi / Jumlah Mahasiswa;Jumlah Mahasiswa yang memperoleh sertifikat kompetensi/profesional yang dikeluarkan oleh badan/lembaga yang bereputasi dan diakui secara nasional maupun internasional, seperti BNSP, Microsoft, Oracle, Cisco, dll berdasarkan hasil evaluasi/ujian yang diselenggarakannya, bukan sertifikat peserta mengikuti pelatihan atau kursus.;Jumlah mahasiswa yang mendapatkan sertifikasi kompetensi;Jumlah Mahasiswa;7
18;EKSELENSI;REPUTASI AKADEMIK;Rasio Jumlah Publikasi Bersama (Co-Authorship) Internasional kumulatif / Jumlah Dosen;"Jumlah publikasi bersama terindeks Scopus yang memiliki co-author dari luar negeri dibagi jumlah dosen
Jumlah Dosen adalah dosen keseluruhan di departemennya termasuk yang sedang Tugas Belajar, Ijin Belajar, Menjabat di tempat lain dll.";Jumlah Publikasi Bersama (Co-Authorship) Internasional kumulatif;Jumlah Dosen;7
19;EKSELENSI;REPUTASI AKADEMIK;Rasio mata kuliah daring synchronous (blended learning) / Jumlah Dosen;"Mata kuliah daring (Blended Learning) adalah mata kuliah yang diselenggarakan dengan ketentuan dimana peserta didik merupakan mahasiswa ITS dan maksimal 30 % dari tatap muka dilakukan secara on-line melalui platform myITS Classroom. Pelaksanaan kegiatan akademik dari mata kuliah daring sinkronus (Blended Learning) terjadwal dalam semester yang berjalan. 
Jumlah Dosen adalah dosen keseluruhan di departemennya termasuk yang sedang Tugas Belajar, Ijin Belajar, Menjabat di tempat lain dll.
";mata kuliah daring synchronous (blended learning);Jumlah Dosen;7
20;EKSELENSI;REPUTASI AKADEMIK;Rasio jumlah lulusan tepat waktu / Jumlah intake angkatan  lulusan terkait (Program S2);"Mahasiswa S2 yang telah lulus dalam 4 semester atau kurang dibagi jumlah intake angkatan S2 pada tahun tersebut yang statusnya aktif.
Lulus tepat waktu program S2 adalah jika masa studinya kurang dari atau sama dengan 4 Semester
";jumlah lulusan Program S2 tepat waktu;Jumlah lulusan Program S2;6
21;EKSELENSI;REPUTASI AKADEMIK;Rasio Jumlah mahasiswa berwirausaha / Jumlah Mahasiswa S1 atau D4;"Jumlah mahasiswa yang berwirausaha secara mandiri maupun yang mendapat insentif dari Ditjen
Pendidikan Tinggi dan/atau dari perguruan tinggi untuk mengembangkan usaha.
misal wirausaha mandiri: Jualan offline maupun online, dll";Jumlah mahasiswa berwirausaha;Jumlah Mahasiswa S1 atau D4;6
22;EKSELENSI;REPUTASI AKADEMIK;Rasio jumlah lulusan tepat waktu / Jumlah intake angkatan lulusan terkait (Program S1 atau D4);"Mahasiswa S1/D4 yang telah lulus dalam 8 semester atau kurang dibagi dengan jumlah mahasiswa intake angkatan pada tahun lulusan tersebut (program S1 atau D4 ) yang statusnya aktif. Misal wisuda lulusan pada tahun 2020 (maret, september), maka pembaginya ada jumlah mahasiswa angkatan 2016 yang teregistrasi pada tahun 2016
Lulus tepat waktu program S1/D4 adalah jika masa studinya kurang dari atau sama dengan 8 Semester
";jumlah lulusan Program S1 atau D4 tepat waktu;Jumlah lulusan Program S1 atau D4;5
23;EKSELENSI;REPUTASI AKADEMIK;Rasio Jumlah Paper di Jurnal Nasional Terakreditasi / Jumlah Dosen ;Jumlah paper di jurnal nasional yang terindex di SINTA dibagi dengan total dosen di unit terkait;Jumlah Paper di Jurnal Nasional Terakreditasi;Jumlah Dosen;5
24;EKSELENSI;REPUTASI AKADEMIK;Rasio Jumlah Publikasi di Seminar Internasional Terindeks Scopus / Jumlah Dosen ;"Seminar internasional terindex global adalah seminar yang menghasilkan prosiding yang memiliki International Standard Serial Number (ISSN)
Publikasi Terindex global sesuai kemendikbud: Web of Science, Thomson Reuters, dan Scopus, Microsoft Academic Search
Jumlah Dosen adalah dosen keseluruhan di departemennya termasuk yang sedang Tugas Belajar, Ijin Belajar, Menjabat di tempat lain dll.


";Jumlah Publikasi di Seminar Internasional Terindeks Scopus;Jumlah Dosen;5
25;EKSELENSI;REPUTASI AKADEMIK;Rasio lulusan yang langsung bekerja dalam jangka waktu 1 tahun setelah kelulusan / Jumlah lulusan;"Lulusan (S1 atau D4) yang langsung bekerja merupakan indikator untuk mengukur lulusan yang memperoleh pekerjaan dengan masa tunggu kurang dari 12 (dua belas) bulan berdasarkan Laporan Tracer Study (TS) Perguruan Tinggi terhadap lulusan yang lulus 2 (dua) tahun sebelum pelaksanaan Tracer Study (periode TS-2).
Misal tahun perhitungan adalah 2020, maka tracer study ditujukan pada lulusan tahun 2018
Melanjutkan studi ke jenjang berikutnya adalah termasuk dihitung dalm kategori ini
";Jumlah lulusan yang langsung bekerja dalam jangka waktu 1 tahun setelah kelulusan;Jumlah lulusan;5
26;EKSELENSI;REPUTASI AKADEMIK;Rasio mata kuliah daring asynchronous (MOOC) / Jumlah Dosen;"Mata kuliah atau modul dengan MOOC adalah mata kuliah atau modul yang memiliki konten video dengan presenter dosen ybs serta durasi dan mutu yang ditentukan oleh Tim Mutu MOOC ITS, serta diupload ke sistem myITS Learning.

Jumlah Dosen adalah dosen keseluruhan di departemennya termasuk yang sedang Tugas Belajar, Ijin Belajar, Menjabat di tempat lain dll.";mata kuliah daring asynchronous (MOOC);Jumlah Dosen;5
27;EKSELENSI;REPUTASI AKADEMIK;Jumlah mahasiswa yang berprestasi (Juara 1, 2, dan 3 ) ditingkat Nasional (lomba kelompok) ;"Jumlah mahasiswa yang mendapat juara 1,2, atau 3 pada kejuaraan/lomba tingkat nasional dihitung per nama mahasiswa (jika seorang mahasiswa mendapat lebih dari 1 kejuaraan/lomba, dianggap 1 mahasiswa)
Prestasi mahasiswa harus dimasukkan kedalam prestasi.its.ac.id serta dilaporkan ke direktorat kemahasiswaan

";Jumlah mahasiswa yang berprestasi (Juara 1, 2, dan 3 ) ditingkat Nasional (lomba kelompok);-;4
28;EKSELENSI;REPUTASI AKADEMIK;"Jumlah mahasiswa yang berprestasi (Juara 1, 2, dan 3 ) ditingkat Nasional (lomba perseorangan)
";"Jumlah mahasiswa yang mendapat juara 1,2, atau 3 pada kejuaraan/lomba (perseorangan atau individu) tingkat nasional dihitung per nama mahasiswa (jika seorang mahasiswa mendapat lebih dari 1 keuaraan/lomba, dianggap 1 mahasiswa)
Prestasi mahasiswa harus dimasukkan kedalam prestasi.its.ac.id serta dilaporkan ke direktorat kemahasiswaan
Jumlah Mahasiswa S1 atau D4 adalah yang teregistrasi pada sistem integra akademik pada tahun perhitungan
";Jumlah mahasiswa yang berprestasi (Juara 1, 2, dan 3 ) ditingkat Nasional (lomba perseorangan);-;4
29;MENDUNIA;REPUTASI INTERNASIONAL;Jumlah kejuaraan di lomba tingkat internasional yang dijuarai Mahasiswa ITS;"Jumlah kejuaraan tingkat internasional (Juara 1/emas/the best/juara umum, 2/perak atau 3/perunggu) 
Prestasi mahasiswa harus dimasukkan kedalam prestasi.its.ac.id serta dilaporkan ke direktorat kemahasiswaan

";Jumlah kejuaraan di lomba tingkat internasional yang dijuarai Mahasiswa ITS;-;9
30;MENDUNIA;REPUTASI INTERNASIONAL;Rasio Jumlah Dosen yang Diundang sebagai Invited atau Keynote Speaker di Seminar Internasional atau Narasumber / Jumlah Dosen ;Jumlah dosen yang diundang sebagai Keynote Speaker di Seminar Internasional atau pada kegiatan yang setara;Jumlah Dosen yang Diundang sebagai Invited atau Keynote Speaker di Seminar Internasional atau Narasumber;Jumlah Dosen;9
31;MENDUNIA;REPUTASI INTERNASIONAL;Rasio Jumlah Dosen yang menjadi Editor  publikasi Internasional terindeks global / Jumlah Dosen ;Jumlah Dosen yang menjadi editor dari jurnal atau conference terindex scopus ;Jumlah Dosen yang menjadi Editor publikasi Internasional terindeks global;Jumlah Dosen;9
32;MENDUNIA;REPUTASI INTERNASIONAL;Rasio Jumlah Penghargaan diterima Dosen di kegiatan Berskala Internasional / Jumlah Dosen;"Jumlah penghargaan yang diterima oleh dosen dalam kegiatan (awarding) berskala internasional. Bisa kompetisi lomba, best paper international conference. Tidak termasuk penerimaan hibah penelitian
Jumlah Dosen adalah dosen keseluruhan di departemennya termasuk yang sedang Tugas Belajar, Ijin Belajar, Menjabat di tempat lain dll.
";Jumlah Penghargaan diterima Dosen di kegiatan Berskala Internasional;-;9
33;MENDUNIA;REPUTASI INTERNASIONAL;Rasio jumlah mahasiswa inbound / Jumlah Mahasiswa;"Jumlah mahasiswa asing yang masuk ke ITS, baik dalam program dagree ataupun non degree
";Jumlah mahasiswa inbound;Jumlah Mahasiswa;7
34;MENDUNIA;REPUTASI INTERNASIONAL;Jumlah Kegiatan Internasional yang Diselenggarakan (kuliah tamu, workshop dan seminar internasional);"Jumlah kegiatan kuliah tamu, workshop dan seminar internasional dengan narasumber dari luar negeri 
";Jumlah Kegiatan Internasional yang Diselenggarakan (kuliah tamu, workshop dan seminar internasional);-;5
35;MENDUNIA;REPUTASI INTERNASIONAL;Jumlah mahasiswa yang berprestasi (Juara 1, 2, dan 3 ) ditingkat Internasional  (lomba kelompok) ;"Jumlah mahasiswa yang mendapatkan Juara 1, 2 atau 3 pada kejuaraan internasional dengan jumlah anggota lebih 1 atau team, jika seorang mahasiswa mendapat lebih dari 1 kejuaraan/lomba, dianggap 1 mahasiswa
Prestasi mahasiswa harus dimasukkan kedalam prestasi.its.ac.id serta dilaporkan ke direktorat kemahasiswaan

";Jumlah mahasiswa yang berprestasi (Juara 1, 2, dan 3 ) ditingkat Internasional (lomba kelompok);-;5
36;MENDUNIA;REPUTASI INTERNASIONAL;Jumlah mahasiswa yang berprestasi (Juara 1, 2, dan 3 ) ditingkat Internasional  (lomba perseorangan);"Jumlah mahasiswa yang mendapatkan Juara 1, 2 atau 3 pada kejuaraan internasional perseorangan, jika seorang mahasiswa mendapat lebih dari 1 kejuaraan/lomba, dianggap 1 mahasiswa
Prestasi mahasiswa harus dimasukkan kedalam prestasi.its.ac.id serta dilaporkan ke direktorat kemahasiswaan

";Jumlah mahasiswa yang berprestasi (Juara 1, 2, dan 3 ) ditingkat Internasional (lomba perseorangan);-;5
37;MENDUNIA;REPUTASI INTERNASIONAL;Rasio Jumlah Dosen yang menjadi Reviewer  publikasi Internasional terindeks global / Jumlah Dosen ;Jumlah Dosen yang menjadi reviewer dari jurnal atau conference terindex scopus ;Jumlah Dosen yang menjadi Reviewer publikasi Internasional terindeks global;Jumlah Dosen;5
38;MENDUNIA;REPUTASI INTERNASIONAL;Rasio jumlah mahasiswa outbound / Jumlah Mahasiswa;"Jumlah mahasiswa ITS yang ke PT luar negeri, baik dalam program dagree ataupun non degree
Jumlah Mahasiswa adalah yang jumlah mahasiswa semua jenjang yang teregistrasi pada sistem integra akademik pada tahun perhitungan

";Jumlah mahasiswa outbound;Jumlah Mahasiswa;5
39;MENDUNIA;REPUTASI INTERNASIONAL;Rasio Jumlah Dosen yang menjadi Anggota Asosiasi Profesi Internasional / Jumlah Dosen ;Organisasi Asosiasi internasional diantaranya : IEEE, ACM, SAE, WEF, iAENG dll;Jumlah Dosen yang menjadi Anggota Asosiasi Profesi Internasional;Jumlah Dosen;3
40;AMANAH;PENGELOLAAN SUMBER DAYA INSTITUSI;Jumlah prodi yang menyelenggarakan Kelas Internasional;"Jumlah prodi yang menyelenggarakan program International Undergraduate Program (IUP).
";Jumlah prodi yang menyelenggarakan Kelas Internasional;-;9
41;AMANAH;PENGELOLAAN SUMBER DAYA INSTITUSI;Jumlah Temuan Irjen/BPK/KAI;Jumlah Temuan hasil audit yang dilakukan oleh BPK, KAI ataupun IRJEN yang belum ditanggapi hingga batas akhir waktu yang ditentukan;Jumlah Temuan Irjen/BPK/KAI;-;9
42;AMANAH;PENGELOLAAN SUMBER DAYA INSTITUSI;Rasio Jumlah Mahasiswa Pascasarjana / Jumlah Mahasiswa;Jumlah mahasiswa S2 dan S3 yang terdaftar di sistem integra akademik, dibagi dengan jumlah total mahasiswa dalam unit terkait.Jumlah Mahasiswa adalah yang teregistrasi pada sistem integra akademik pada tahun perhitungan;Jumlah Mahasiswa Pascasarjana;Jumlah Mahasiswa;9
43;AMANAH;PENGELOLAAN SUMBER DAYA INSTITUSI;Rasio Jumlah Visiting Professor,Lecturer,Researcher ke PTLN mitra / Jumlah Dosen;"Jumlah dosen dari unit terkait untuk melakukan kunjungan keluar negeri dalam rangka kegiatan akademik maupun penelitian seperti program WCP, kuliah tamu, keynote speaker. Tidak termasuk yang presenterconference.
Jumlah Dosen adalah dosen keseluruhan di unitnya termasuk yang sedang Tugas Belajar, Ijin Belajar, Menjabat di tempat lain dll.
";Jumlah Visiting Professor,Lecturer,Researcher ke PTLN mitra;Jumlah Dosen;9
44;AMANAH;PENGELOLAAN SUMBER DAYA INSTITUSI;Jumlah dosen memperoleh sertifikasi kompetensi/profesional nasional atau internasional (kumulatif);Jumlah Dosen yang memperoleh sertifikat kompetensi/profesional yang dikeluarkan oleh badan/lembaga yang bereputasi dan diakui secara nasional maupun internasional, seperti BNSP, Microsoft, Oracle, Cisco, dll berdasarkan hasil evaluasi/ujian yang diselenggarakannya, bukan sertifikat peserta mengikuti pelatihan atau workshopJumlah Kumulatif;Jumlah dosen memperoleh sertifikasi kompetensi/profesional nasional atau internasional;-;7
45;AMANAH;PENGELOLAAN SUMBER DAYA INSTITUSI;Jumlah mahasiswa yang mengikuti kegiatan merdeka belajar;"Jumlah mahasiswa yang mengikuti kegiatan Merdeka Belajar (kegiatan yang setara dengan 20 SKS di luar
prodi).
a. Mengambil mata kuliah di luar prodi dalam Perguruan Tinggi yang sama
b. Mengambil mata kuliah di Perguruan Tinggi lainnya
c. Magang di industri/lembaga profesi/lembaga penelitian dan lain-lain
d. Pengabdian masyarakat di desa dan kegiatan sosial lainnya";Jumlah mahasiswa yang mengikuti kegiatan merdeka belajar;-;7
46;AMANAH;PENGELOLAAN SUMBER DAYA INSTITUSI;Jumlah nama PTLN mitra yang mengisi kuesioner QS;Jumlah Perguruan Tinggi LN mitra yang mengisi kuesioner QS;Jumlah nama PTLN mitra yang mengisi kuesioner QS;-;7
47;AMANAH;PENGELOLAAN SUMBER DAYA INSTITUSI;Jumlah Pendaftaran HKI atau Paten (nominal);"Jumlah paten dan HKI yang di daftarkan pada tahun berjalan. 
";Jumlah Pendaftaran HKI atau Paten (nominal);-;7
48;AMANAH;PENGELOLAAN SUMBER DAYA INSTITUSI;Jumlah prodi yang menerapkan pembelajaran Kampus Merdeka;Jumlah prodi yang memberikan kesempatan bagi mahasiswanya untuk mengikuti Program Merdeka Belajar (20 SKS di luar prodi di dalam Perguruan Tinggi dan 40 SKS di luar Perguruan Tinggi);Jumlah prodi yang menerapkan pembelajaran Kampus Merdeka;-;7
49;AMANAH;PENGELOLAAN SUMBER DAYA INSTITUSI;Jumlah sertifikasi LBE (lab based education);Jumlah lab yang mendapatkan sertifikasi LBE dari DRPM ITS;Jumlah sertifikasi LBE (lab based education);-;7
50;AMANAH;PENGELOLAAN SUMBER DAYA INSTITUSI;Rasio Jumlah Mahasiswa Baru Berbeasiswa Afirmasi (termasuk program bidikmisi atau KIPK) / Jumlah Mahasiswa Baru (Program S1 atau D4);Jumlah mahasiswa baru yang mendapat beasiswa bidikmisi atau KIPK dibagi dengan jumlah mahasiswa baru  yang teregistrasi dalam sistem integra akademik  (Program S1, D4) .Jumlah Mahasiswa S1 adalah yang teregistrasi pada sistem integra akademik pada tahun perhitungan;Jumlah Mahasiswa S1 Baru Berbeasiswa Afirmasi (termasuk program bidik misi atau kartu indonesia pintar);Jumlah Mahasiswa Baru S1;7
51;AMANAH;PENGELOLAAN SUMBER DAYA INSTITUSI;Rasio Jumlah Mahasiswa S3 yang teregistrasi / Jumlah Mahasiswa Total;Jumlah mahasiswa S3 dengan semua status yang terdaftar dalam sistem integra akademik dibagi dengan jumlah total mahasiswa yang teregistrasi dalam sistem integra akademik dalam unit terkait.Jumlah Mahasiswa adalah yang teregistrasi pada sistem integra akademik pada tahun perhitungan;Jumlah Mahasiswa S3 yang teregistrasi;Jumlah Mahasiswa;7
52;AMANAH;PENGELOLAAN SUMBER DAYA INSTITUSI;Rasio revenue prodi pasca / revenue total prodi;Jumlah pemasukan dana dalam bentuk UKT, SPI dan SPP dari mahasiswa Pascasarjana.Jumlah Mahasiswa Pascasarjana adalah yang teregistrasi pada sistem integra akademik pada tahun perhitungan;Jumlah Revenue dari Mahasiswa (SPP);Jumlah Mahasiswa (Program Pasca Sarjana);7
53;AMANAH;PENGELOLAAN SUMBER DAYA INSTITUSI;Rasio mahasiswa yang mengikuti program magang industri / Jumlah Mahasiswa (Program S1 atau D4);"Program magang yang dilakukan oleh mahasiswa program Sarjana atau Sarjana Terapan ke industri minimal dilaksanakan dalam kurun waktu 3 bulan Jumlah Mahasiswa S1 atau D4 adalah yang teregistrasi pada sistem integra akademik pada tahun perhitungan 
";Jumlah mahasiswa yang mengikuti program magang industri;Jumlah Mahasiswa S1 atau D4;7
54;AMANAH;PENGELOLAAN SUMBER DAYA INSTITUSI;Jumlah layanan yang telah diintegrasikan dengan layanan ULT (Unit Layanan Terpadu);Jumlah layanan yang diberikan oleh unit terkait yang diintegrasikan ke sistem Unit Layanan Terpadu (ULT), seperti permohonan legalisir, surat rekomendasi dll;Jumlah layanan yang telah diintegrasikan dengan layanan ULT (Unit Layanan Terpadu);-;6
55;AMANAH;PENGELOLAAN SUMBER DAYA INSTITUSI;Rasio Jumlah Mahasiswa S2 yang teregistrasi / Jumlah Mahasiswa Total;"Jumlah mahasiswa S2 dengan semua status yang terdaftar dalam sistem integra akademik dibagi dengan jumlah total mahasiswa yang teregistrasi dalam sistem integra akademik  dalam unit terkait.Jumlah Mahasiswa S1 atau D4 adalah yang teregistrasi pada sistem integra akademik pada tahun perhitungan 
";Jumlah Mahasiswa S2 yang teregistrasi;Jumlah Mahasiswa;6
56;AMANAH;PENGELOLAAN SUMBER DAYA INSTITUSI;Jumlah Visiting Professor/Lecturer/Researcher dari PTLN mitra;"Jumlah dosen atau peneliti dari universitas luar negeri yang melakukan kunjungan ke fakultas atau departemen terkait untuk memberikan presentasi atau kuliah tamu atau kerjasama penelitian. 
";Jumlah Visiting Professor/Lecturer/Researcher dari PTLN mitra;-;5
57;AMANAH;PENGELOLAAN SUMBER DAYA INSTITUSI;Ketersediaan profil unit berupa PPT dan video (dalam bahasa Indonesia dan English) ;"Dokumen ataupun file yang terkait profil unit meliputi brosur, video profile, file presentasi yang bisa digunakan untuk media promosi dan pengenalan unit terkait, baik dalam bahasa indonesia dan bahasa inggris. Capaian indikator bernilai 1 jika terdapat semua. 
";Ketersediaan profil unit berupa PPT dan video (dalam bahasa Indonesia dan English);-;5
58;AMANAH;PENGELOLAAN SUMBER DAYA INSTITUSI;Rasio jumlah buku ber-ISBN dan dipasarkan / Jumlah Dosen (kumulatif 3 tahun terakhir);"Jumlah buku hasil karya dosen departemen terkait diterbitkan oleh perguruan tinggi atau penerbit lainnya dan memiliki International Standard Book Number
(ISBN).Kumulatif 3 tahun terakhir dari tahun perhitunganJumlah Dosen adalah dosen keseluruhan di departemennya termasuk yang sedang Tugas Belajar, Ijin Belajar, Menjabat di tempat lain dll.";jumlah buku ber-ISBN dan dipasarkan kumulatif 3 tahun terakhir);Jumlah Dosen;5
